26
0 1-103; 2-105; 3-101; 4-104; 5-100; 6-102; 7-105; 8-103; 9-101; 10-104; 11-102; 12-100; 13-103; 14-105; 15-101; 16-104; 17-102; 18-100; 19-103; 20-105; 21-101; 22-104; 23-102; 24-100; 25-103;
1 0-103; 2-102; 3-104; 4-100; 5-103; 6-105; 7-101; 8-104; 9-102; 10-100; 11-103; 12-105; 13-101; 14-104; 15-102; 16-100; 17-103; 18-105; 19-101; 20-104; 21-102; 22-100; 23-103; 24-105; 25-101;
2 0-105; 1-102; 3-103; 4-101; 5-104; 6-100; 7-102; 8-105; 9-103; 10-101; 11-104; 12-100; 13-102; 14-105; 15-103; 16-101; 17-104; 18-100; 19-102; 20-105; 21-103; 22-101; 23-104; 24-100; 25-102;
3 0-101; 1-104; 2-103; 4-102; 5-100; 6-103; 7-105; 8-101; 9-104; 10-102; 11-100; 12-103; 13-105; 14-101; 15-104; 16-102; 17-100; 18-103; 19-105; 20-101; 21-104; 22-102; 23-100; 24-103; 25-105;
4 0-104; 1-100; 2-101; 3-102; 5-105; 6-101; 7-104; 8-102; 9-100; 10-103; 11-105; 12-101; 13-104; 14-102; 15-100; 16-103; 17-105; 18-101; 19-104; 20-102; 21-100; 22-103; 23-105; 24-101; 25-104;
5 0-100; 1-103; 2-104; 3-100; 4-105; 6-102; 7-100; 8-103; 9-105; 10-101; 11-104; 12-102; 13-100; 14-103; 15-105; 16-101; 17-104; 18-102; 19-100; 20-103; 21-105; 22-101; 23-104; 24-102; 25-100;
6 0-102; 1-105; 2-100; 3-103; 4-101; 5-102; 7-104; 8-100; 9-103; 10-105; 11-101; 12-104; 13-102; 14-100; 15-103; 16-105; 17-101; 18-104; 19-102; 20-100; 21-103; 22-105; 23-101; 24-104; 25-102;
7 0-105; 1-101; 2-102; 3-105; 4-104; 5-100; 6-104; 8-101; 9-102; 10-105; 11-104; 12-100; 13-104; 14-101; 15-102; 16-105; 17-104; 18-100; 19-104; 20-101; 21-102; 22-105; 23-104; 24-100; 25-104;
8 0-103; 1-104; 2-105; 3-101; 4-102; 5-103; 6-100; 7-101; 9-105; 10-102; 11-103; 12-100; 13-101; 14-105; 15-102; 16-103; 17-100; 18-101; 19-105; 20-102; 21-103; 22-100; 23-101; 24-105; 25-102;
9 0-101; 1-102; 2-103; 3-104; 4-100; 5-105; 6-103; 7-102; 8-105; 10-100; 11-105; 12-103; 13-102; 14-105; 15-100; 16-105; 17-103; 18-102; 19-105; 20-100; 21-105; 22-103; 23-102; 24-105; 25-100;
10 0-104; 1-100; 2-101; 3-102; 4-103; 5-101; 6-105; 7-105; 8-102; 9-100; 11-101; 12-105; 13-105; 14-102; 15-100; 16-101; 17-105; 18-105; 19-102; 20-100; 21-101; 22-105; 23-105; 24-102; 25-100;
